bibtex_key,title,label,hallucination_type,confidence,notes
e6f1f4ecb273,Autoencoder based test-time adaptation for semantic segmentation,,,,
e77181c528a5,Efficient Transformer Variants for Long-Sequence Modeling in NLP,,,,
e7d2f0c1e698,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,,,,
e7e5083fa94f,MiniGPT-4: Enhancing Vision-Language Understanding with Advanced Large Language Models,,,,
e819037fb205,"Taché, and Etienne Altman",,,,
e8936f0a13bf,Discriminative features for fast frame-based phoneme classification,,,,
e8e1379d3939,Masked Autoencoders Are Scalable Vision Learners,,,,
e9e08922a057,{PaLM}: Scaling Language Modeling with Pathways,,,,
eaa48be036ab,Barlow Twins: Self-Supervised Learning via Redundancy Reduction,,,,
eae03804fd48,Mip-NeRF: A Multiscale Representation for Anti-Aliasing Neural Radiance Fields,,,,
ec01d96455e0,TEMPO: Temporal representation prompting for large language models,,,,
ec7fc7e09a4f,UAST: Uncertainty-Aware Siamese Tracking,,,,
ed071a6dfa34,Improving Robustness using Generated Data,,,,
ee11bfb07e23,Memory-Augmented Potential Field Navigation with Dynamic Obstacle Avoidance,,,,
ee7414a2d305,Semantically diverse language generation,,,,
ef0914098b34,"Drivlme: A large-scale multi-agent driving benchmark, 2023",,,,
f07677224884,Test-time adaptation for continual semantic segmentation,,,,
f0a60c7552c1,Poisson equation for multiscale diffusions,,,,
f2fae82f929d,Susie: Scaling up instruction-following policies for robot manipulation,,,,
f34f26c83153,{NAS-Bench-201}: Extending the Scope of Reproducible Neural Architecture Search,,,,
f36bff1b0e11,Re2TAL: Rewiring Pretrained Video Backbones for Reversible Temporal Action Localization,,,,
f46e9569871d,Do Vision Transformers See Like Convolutional Neural Networks?,,,,
f4dcd5e6b6a7,Twin-systems for explaining ANNs using CBR,,,,
f6f340ab27ef,AI for language learning,,,,
f746e1c10ae9,Adaptive Federated Optimization,,,,
f802800935ef,ImageBind: One Embedding Space To Bind Them All,,,,
f862a322cf36,Understanding contrastive representation learning through alignment and uniformity on the hypersphere,,,,
f8662adf72d9,Robust compositional visual reasoning via language-guided neural module networks,,,,
f8c3fa3bca65,Webvoyager: Building an end-to-end web agent with large multimodal models,,,,
f8df3186e2e6,EST: Event spatio-temporal transformer for object recognition with event cameras,,,,
f931c45e0af4,Learning to trade with continuous action spaces: Application to market making,,,,
fa23a80d13ab,"Data-driven prediction of chaotic dynamics: Methods, challenges, and opportunities",,,,
fa77166308b0,Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding,,,,
fae3d0127db0,An empirical study of state space models for large language modeling,,,,
fbef97e518a5,Zero-shot skill composition with semantic feature fusion,,,,
fc4aaf478a08,Diffusion Models Beat GANs on Image Synthesis,,,,
fcf41787a617,Heimdallr: Efficient System Design for Large-Scale Distributed Computing,,,,
fe9f4d7d5867,Uncertainty quantification in abstractive summarization,,,,
ff065f4c5765,MERLOT: Multimodal Neural Script Knowledge Models,,,,
ff2931c3228f,An Empirical Study of Training Self-Supervised Vision Transformers,,,,
ffe715a15b16,Generative adversarial networks for hyper-realistic avatar creation,,,,
